gFx,gFy,gFz
-0.0218,0.6898,0.7331
-0.0226,0.69,0.7326
-0.0233,0.6888,0.7317
-0.023,0.6881,0.7324
-0.0233,0.6886,0.7319
-0.0216,0.6866,0.7331
-0.0218,0.6876,0.7366
-0.0216,0.6878,0.7341
-0.0213,0.6874,0.7339
-0.0238,0.6874,0.7356
-0.0218,0.6898,0.7358
-0.0255,0.6898,0.7363
-0.025,0.6891,0.7368
-0.0223,0.6896,0.7368
-0.0213,0.6903,0.7361
-0.0245,0.6878,0.7366
-0.026,0.6896,0.7353
-0.0245,0.6883,0.7358
-0.024,0.6866,0.7361
-0.026,0.6874,0.7363
-0.025,0.6886,0.7358
-0.0238,0.6886,0.7344
-0.0216,0.6915,0.7326
-0.025,0.6898,0.7331
-0.0245,0.6886,0.7348
-0.026,0.692,0.7351
-0.0245,0.6966,0.7334
-0.0272,0.6937,0.7326
-0.025,0.6925,0.7339
-0.0204,0.6922,0.7326
-0.0213,0.6905,0.7366
-0.0245,0.6918,0.7344
-0.0204,0.6886,0.737
-0.0233,0.6896,0.738
-0.0238,0.6883,0.7407
-0.0243,0.6891,0.7414
-0.0235,0.6878,0.7434
-0.026,0.6883,0.7464
-0.0245,0.691,0.7471
-0.0269,0.6908,0.7449
-0.0267,0.6891,0.7478
-0.0309,0.6881,0.7468
-0.0279,0.6891,0.7478
-0.026,0.6893,0.7456
-0.0272,0.6891,0.7427
-0.0291,0.6878,0.741
-0.0265,0.69,0.7397
-0.0287,0.6896,0.7366
-0.0313,0.691,0.7344
-0.0279,0.6918,0.7297
-0.0287,0.6908,0.7256
-0.0269,0.6918,0.7212
-0.0257,0.6957,0.718
-0.0277,0.6969,0.7138
-0.0269,0.6949,0.7134
-0.0287,0.6952,0.7041
-0.0296,0.6981,0.7055
-0.0321,0.6991,0.7077
-0.0313,0.6993,0.7073
-0.0331,0.6998,0.7053
-0.0301,0.6952,0.7038
-0.0304,0.6918,0.7046
-0.0272,0.693,0.7036
-0.0318,0.691,0.7099
-0.0296,0.691,0.7109
-0.0331,0.69,0.7168
-0.0282,0.6896,0.7192
-0.0272,0.6888,0.7224
-0.0277,0.6913,0.7278
-0.0245,0.6886,0.7307
-0.0228,0.6881,0.7339
-0.0252,0.6874,0.7395
-0.0235,0.6891,0.7422
-0.0228,0.6883,0.7431
-0.024,0.6908,0.7471
-0.0221,0.6871,0.7476
-0.025,0.6939,0.7473
-0.0265,0.692,0.7486
-0.026,0.6888,0.75
-0.0211,0.6881,0.752
-0.0238,0.6896,0.7505
-0.0235,0.6881,0.7488
-0.0226,0.6896,0.7471
-0.0191,0.6869,0.7461
-0.0211,0.6874,0.7431
-0.0196,0.6869,0.7446
-0.0165,0.6842,0.7431
-0.0184,0.683,0.74
-0.0199,0.6886,0.7363
-0.0206,0.6876,0.7358
-0.0191,0.6859,0.7348
-0.0157,0.6866,0.7319
-0.0165,0.6886,0.7297
-0.0196,0.6876,0.7285
-0.0182,0.6874,0.727
-0.0216,0.6896,0.7253
-0.0165,0.6856,0.7248
-0.0208,0.6859,0.7219
-0.0208,0.6876,0.7226
-0.0177,0.6883,0.7234
-0.0199,0.6871,0.7217
-0.0216,0.6854,0.7224
-0.0228,0.6842,0.7229
-0.0226,0.6854,0.7219
-0.023,0.6834,0.7239
-0.023,0.6861,0.7243
-0.0226,0.6869,0.7265
-0.023,0.6839,0.7263
-0.0223,0.6859,0.7261
-0.0233,0.6856,0.7258
-0.0235,0.6839,0.728
-0.026,0.6844,0.7297
-0.0206,0.6842,0.728
-0.0208,0.6854,0.7251
-0.0206,0.6847,0.7265
-0.0206,0.6876,0.7283
-0.023,0.6861,0.7258
-0.0216,0.6881,0.729
-0.0226,0.6859,0.7307
-0.0221,0.6834,0.7307
-0.0206,0.6847,0.7305
-0.0208,0.6849,0.7317
-0.0199,0.6856,0.7309
-0.0186,0.6856,0.7317
-0.0196,0.6876,0.7305
-0.0182,0.6852,0.7302
-0.0196,0.6869,0.7309
-0.0206,0.6878,0.7317
-0.0186,0.6886,0.7309
-0.0167,0.6898,0.7322
-0.0201,0.6861,0.7329
-0.0182,0.6905,0.729
-0.0204,0.6896,0.7273
-0.0204,0.6903,0.7317
-0.0194,0.6903,0.73
-0.0206,0.6896,0.7312
-0.0189,0.6932,0.7312
-0.0174,0.6891,0.73
-0.0191,0.69,0.7317
-0.023,0.69,0.7305
-0.0233,0.691,0.7292
-0.0233,0.6915,0.7322
-0.0228,0.6942,0.7329
-0.0245,0.6915,0.7339
-0.024,0.6947,0.7331
-0.0265,0.6922,0.7312
-0.026,0.6925,0.7329
-0.0269,0.6935,0.7317
-0.0282,0.692,0.73
-0.0279,0.6927,0.7295
-0.0262,0.693,0.7324
-0.0284,0.6959,0.73
-0.0306,0.6918,0.729
-0.0287,0.6932,0.7283
-0.0279,0.6937,0.7292
-0.0287,0.6913,0.7292
-0.0282,0.691,0.7283
-0.0287,0.6915,0.7285
-0.0294,0.6893,0.7283
-0.0299,0.6878,0.7285
-0.0294,0.6903,0.7292
-0.0294,0.69,0.7302
-0.0299,0.6878,0.7305
-0.0267,0.6847,0.7307
-0.0309,0.6861,0.7278
-0.0318,0.6856,0.7312
-0.0299,0.6859,0.7322
-0.0269,0.6874,0.7312
-0.0333,0.6874,0.7302
-0.0306,0.6832,0.7326
-0.0326,0.6874,0.7339
-0.0321,0.6871,0.7351
-0.0316,0.6864,0.7351
-0.0304,0.6839,0.7336
-0.0306,0.6856,0.737
-0.0328,0.6852,0.7341
-0.0323,0.6856,0.7363
-0.0323,0.6834,0.7353
-0.0304,0.6859,0.737
-0.0309,0.6871,0.7383
-0.0277,0.69,0.7366
-0.0265,0.6852,0.7378
-0.0291,0.6861,0.7346
-0.0306,0.6852,0.7341
-0.0304,0.6864,0.7363
-0.0301,0.6854,0.7353
-0.0321,0.6849,0.7351
-0.0309,0.6859,0.7351
-0.0294,0.6878,0.7339
-0.0321,0.69,0.7339
-0.0313,0.6898,0.7334
-0.0301,0.6883,0.7331
-0.0291,0.6888,0.7329
-0.0304,0.6891,0.7319
-0.0323,0.69,0.7322
-0.0323,0.6891,0.7312
-0.0294,0.6913,0.7309
-0.0304,0.6878,0.7287
-0.0321,0.69,0.7305
-0.0304,0.6886,0.7307
-0.0287,0.6866,0.73
-0.0289,0.6922,0.7295
-0.0277,0.6905,0.7295
-0.0313,0.6903,0.7307
-0.0309,0.6891,0.7305
-0.0299,0.6888,0.7314
-0.0311,0.691,0.7331
-0.0316,0.691,0.7346
-0.034,0.6915,0.7383
-0.0338,0.6883,0.7363
-0.0323,0.6913,0.7353
-0.0323,0.691,0.7361
-0.0318,0.6918,0.7392
-0.0318,0.6908,0.7422
-0.0333,0.6944,0.7388
-0.034,0.692,0.7414
-0.0328,0.6888,0.7419
-0.036,0.6898,0.7424
-0.0353,0.6903,0.7434
-0.0353,0.6937,0.7478
-0.0367,0.6922,0.7461
-0.0379,0.693,0.7468
-0.0382,0.6959,0.7456
-0.0338,0.6971,0.7431
-0.0355,0.6942,0.7439
-0.0316,0.6949,0.7388
-0.0333,0.6954,0.7351
-0.0326,0.6932,0.7326
-0.0279,0.6918,0.728
-0.0267,0.6959,0.7258
-0.0296,0.6915,0.7182
-0.0279,0.6927,0.7141
-0.0277,0.6922,0.7099
-0.0255,0.6908,0.7099
-0.0262,0.6893,0.707
-0.026,0.69,0.707
-0.0235,0.6883,0.7051
-0.024,0.6871,0.7055
-0.0213,0.6864,0.7038
-0.0218,0.6844,0.7055
-0.0194,0.683,0.7077
-0.0189,0.6842,0.7107
-0.0142,0.6859,0.7112
-0.0125,0.6839,0.717
-0.0125,0.6817,0.7219
-0.0108,0.683,0.7263
-0.0091,0.6808,0.7305
-0.0069,0.682,0.7334
-0.0057,0.6793,0.7361
-0.0071,0.6773,0.7392
-0.0062,0.6761,0.7424
-0.0093,0.6778,0.7417
-0.0064,0.6754,0.7444
-0.0057,0.6761,0.7427
-0.0084,0.6761,0.7451
-0.0069,0.6769,0.7451
-0.0057,0.6761,0.7427
