gFx,gFy,gFz
-0.0416,0.9421,0.3437
-0.0387,0.9387,0.3408
-0.0372,0.9402,0.3401
-0.0357,0.9456,0.3391
-0.0399,0.9451,0.3386
-0.0389,0.9412,0.3374
-0.0396,0.9421,0.3371
-0.0365,0.9441,0.3376
-0.0389,0.9453,0.3369
-0.0365,0.9417,0.3369
-0.0387,0.9429,0.3371
-0.0409,0.9439,0.3369
-0.0389,0.9456,0.3371
-0.0384,0.9453,0.3369
-0.0367,0.9429,0.3371
-0.0431,0.9429,0.3364
-0.0379,0.9431,0.3369
-0.0404,0.9424,0.3396
-0.0399,0.939,0.3391
-0.0409,0.9417,0.3393
-0.0401,0.9414,0.3401
-0.0414,0.9419,0.3432
-0.0414,0.9397,0.3423
-0.0416,0.9356,0.3427
-0.0421,0.9373,0.3447
-0.0445,0.9377,0.346
-0.0455,0.9387,0.344
-0.0462,0.9385,0.3452
-0.0458,0.9368,0.3452
-0.046,0.9385,0.3462
-0.045,0.9404,0.3474
-0.0458,0.9368,0.345
-0.044,0.9387,0.3462
-0.0453,0.9402,0.3499
-0.0477,0.9385,0.3489
-0.0465,0.9392,0.3442
-0.045,0.9382,0.3447
-0.0497,0.939,0.345
-0.0458,0.938,0.3481
-0.047,0.9356,0.344
-0.0458,0.9368,0.346
-0.045,0.9407,0.3462
-0.0477,0.939,0.3452
-0.047,0.9419,0.3474
-0.0445,0.9395,0.3469
-0.0448,0.9387,0.3469
-0.0418,0.9417,0.3481
-0.0438,0.9443,0.3462
-0.0467,0.9402,0.3462
-0.047,0.9407,0.3447
-0.0467,0.9461,0.3469
-0.0458,0.9431,0.3481
-0.0448,0.9436,0.3474
-0.0465,0.9431,0.3474
-0.0433,0.9436,0.3457
-0.0433,0.9429,0.3477
-0.0433,0.9429,0.344
-0.0428,0.9436,0.3455
-0.0406,0.9395,0.3455
-0.0411,0.9434,0.3467
-0.0436,0.9431,0.344
-0.0462,0.9426,0.343
-0.0453,0.9436,0.3437
-0.0448,0.9439,0.3415
-0.0465,0.9409,0.341
-0.046,0.9397,0.342
-0.0426,0.9392,0.3415
-0.0423,0.9402,0.3418
-0.0404,0.937,0.3393
-0.0433,0.9399,0.3386
-0.0436,0.9375,0.3403
-0.0462,0.9356,0.3401
-0.0489,0.9382,0.3369
-0.047,0.9404,0.3388
-0.0453,0.9377,0.3403
-0.0475,0.9399,0.3403
-0.046,0.9409,0.3413
-0.0465,0.936,0.3425
-0.0448,0.9324,0.343
-0.0489,0.936,0.3437
-0.045,0.9382,0.3408
-0.0465,0.9353,0.3415
-0.0477,0.9375,0.3415
-0.047,0.9395,0.3415
-0.0492,0.9409,0.3427
-0.0509,0.9397,0.3442
-0.0504,0.9409,0.342
-0.0504,0.9419,0.3457
-0.0509,0.937,0.3432
-0.0504,0.9373,0.3442
-0.0516,0.9402,0.3452
