gFx,gFy,gFz
-0.0304,1.1085,0.086
-0.0221,1.1156,0.0753
-0.0184,1.1251,0.0648
-0.0106,1.1349,0.0567
-0.0074,1.1454,0.0474
0.0012,1.1527,0.0347
0.008,1.1596,0.0235
0.0126,1.1674,0.011
0.018,1.1703,-0.0017
0.0231,1.172,-0.0112
0.0273,1.1737,-0.021
0.0302,1.174,-0.0298
0.0351,1.1732,-0.0398
0.0297,1.1689,-0.0449
0.0297,1.1679,-0.0493
0.03,1.1605,-0.0544
0.0263,1.1535,-0.0567
0.0212,1.1452,-0.0591
0.0163,1.1334,-0.0552
0.0148,1.1273,-0.0542
0.0065,1.1122,-0.0459
0.0016,1.0983,-0.0418
-0.0049,1.0839,-0.0339
-0.0128,1.0653,-0.0217
-0.0182,1.0506,-0.0142
-0.0274,1.036,-0.0046
-0.0338,1.0208,0.0049
-0.0379,1.0,0.0171
-0.0418,0.9866,0.0242
-0.0453,0.971,0.033
-0.0492,0.9536,0.0435
-0.0558,0.9387,0.0537
-0.0577,0.9229,0.0584
-0.058,0.907,0.0626
-0.0658,0.8903,0.0714
-0.0692,0.8735,0.0772
-0.0709,0.862,0.0804
-0.0724,0.8457,0.0833
-0.0724,0.8293,0.0819
